study_hours,sleep_hours,attendance,exam_pressure,assignment_load,physical_activity,screen_time,academic_performance,stress_level
2,8,90,Low,Low,5,3,85,Low
4,7,85,Medium,Medium,3,5,75,Moderate
6,5,70,High,High,1,8,60,High
3,7,88,Low,Medium,4,4,82,Low
5,6,75,High,Medium,2,7,65,High
4,6,80,Medium,High,2,6,70,Moderate
2,8,92,Low,Low,6,2,90,Low
6,5,68,High,High,1,9,55,High
3,7,86,Medium,Low,4,4,80,Moderate
5,6,72,High,High,2,8,62,High
3,8,91,Low,Low,5,3,88,Low
4,7,83,Medium,Medium,3,5,76,Moderate
7,5,65,High,High,1,9,58,High
2,9,94,Low,Low,7,2,92,Low
5,6,78,Medium,High,2,7,68,Moderate
6,5,73,High,High,2,8,61,High
3,7,89,Low,Medium,4,4,84,Low
4,6,79,Medium,Medium,3,6,72,Moderate
7,4,62,High,High,1,10,52,High
2,8,95,Low,Low,6,2,94,Low
